**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM93	*MM93	*MM93	*MM93	*MM93	*MM93
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
2.	.	.	R	.	.
8	.	.	R	.	.
16	0	.	.	I'm	3
16	0	.	.	a	.
=1	=1	=1	=1	=1	=1
16	1	.	.	smo-	.
8	0	.	.	-ker	.
8	1	.	.	weed	3
16	1	.	.	to-	.
16	0	.	.	-ker	.
16	0	.	.	The	3
16	1	.	.	co-	.
16	0	.	.	-la	.
16	0	.	.	in	.
16	0	.	.	your	.
16	1	.	.	co-	.
16	0	.	.	-ca	.
16	0	.	.	Loo-	3
16	0	.	.	-sing	.
=2	=2	=2	=2	=2	=2
16	1	.	.	change	.
16	0	.	.	up	.
16	0	.	.	in	.
16	0	.	.	your	.
16	1	.	.	so-	.
16	0	.	.	-fa	.
16	0	.	.	I	3
16	0	.	.	brought	.
16	1	.	.	change	.
16	0	.	.	in-	.
16	0	.	.	-to	.
16	0	.	.	the	.
8	1	.	.	cul-	.
8	0	.	.	-ture	.
=3	=3	=3	=3	=3	=3
16	1	.	.	Fun-	3
16	0	.	.	-ny	.
16	0	.	.	how	.
16	0	.	.	these	.
16	1	.	.	pi-	.
16	0	.	.	-geons	.
16	0	.	.	try-	.
16	0	.	.	-na	.
16	1	.	.	change	.
16	0	.	.	in-	.
16	0	.	.	-to	.
16	0	.	.	a	.
16	1	.	.	vul-	.
16	0	.	.	-ture	.
16	0	.	.	you's	3
16	0	.	.	a	.
=4	=4	=4	=4	=4	=4
16	1	.	.	po-	.
16	0	.	.	-ser	.
16	.	.	R	.	.
16	0	.	.	wit	3
16	1	.	.	pork	.
16	0	.	.	all	.
16	0	.	.	on	.
16	0	.	.	your	.
16	1	.	.	fork	2
16	0	.	.	and	.
16	0	.	.	that	.
16	0	.	.	ain't	.
8	1	.	.	ko-	3
8	0	.	.	-sher	.
=5	=5	=5	=5	=5	=5
16	1	.	.	No	3
16	0	.	.	sir	.
16	.	.	R	.	.
16	0	.	.	I	3
16	1	.	.	ne-	.
16	0	.	.	-ver	.
16	0	.	.	put	.
16	0	.	.	a	.
16	1	.	.	pen-	.
16	0	.	.	-ny	.
16	0	.	.	in	.
16	0	.	.	a	.
16	1	.	.	loa-	.
16	0	.	.	-fer	.
16	0	.	.	for	3
16	0	.	.	good	.
=6	=6	=6	=6	=6	=6
16	1	.	.	times	.
16	0	.	.	up	.
16	0	.	.	in	.
16	0	.	.	the	.
16	1	.	.	ghe-	.
16	0	.	.	-tto	.
16	0	.	.	we	3
16	0	.	.	had	.
16	1	.	.	pen-	.
16	0	.	.	-ny	.
16	0	.	.	and	.
16	0	.	.	Wi-	.
16	1	.	.	-lo-	.
16	0	.	.	-na	.
16	.	.	R	.	.
16	0	.	.	You	3
=7	=7	=7	=7	=7	=7
16	1	.	.	know	.
16	0	.	.	I	.
16	0	.	.	stretch	.
16	0	.	.	a	.
16	1	.	.	quar-	.
16	0	.	.	-ter	.
16	0	.	.	got	3
16	0	.	.	a	.
16	1	.	.	rock	.
16	0	.	.	cause	.
16	0	.	.	I'm	.
16	0	.	.	a	.
16	1	.	.	rol-	.
16	0	.	.	-ler	.
16	0	.	.	and	3
16	0	.	.	I'm	.
=8	=8	=8	=8	=8	=8
16	1	.	.	bol-	.
16	0	.	.	-der	.
16	0	.	.	than	.
16	0	.	.	a	.
16	1	.	.	hard	.
8	1	.	.	rock	.
8	1	.	.	is	3
16	0	.	.	cause	.
16	0	.	.	I'm	.
16	0	.	.	a	.
8	1	.	.	sto-	.
8	0	.	.	-ner	.
=9	=9	=9	=9	=9	=9
8	.	.	R	.	.
