**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM127	*MM127	*MM127	*MM127	*MM127	*MM127
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
4	.	.	R	.	.
12	1	(A	.	Rac-	3
12	0	a)	.	-kings	.
12	0	.	.	on	.
12	1	(A	.	rac-	.
12	0	a)	.	-kings	.
12	0	.	.	got	2
12	1	(A	.	bac-	.
12	0	a)	.	-kends	.
12	0	.	.	on	.
=1	=1	=1	=1	=1	=1
12	1	(A	.	bac-	.
12	0	a)	.	-kends	.
12	0	.	.	I'm	2
12	1	B	.	ri-	.
12	0	.	.	-din'	.
12	0	.	.	a-	.
12	1	.	.	-round	.
12	0	.	.	in	.
12	0	.	.	a	.
4	1	C	.	coupe	.
=2	=2	=2	=2	=2	=2
4	.	.	R	.	.
12	1	.	.	I	3
12	0	.	.	take	.
12	0	.	.	your	.
12	1	.	.	bitch	.
12	0	B	.	right	.
12	0	.	.	from	.
4	1	C	.	you	.
=3	=3	=3	=3	=3	=3
4	.	.	R	.	.
12	1	.	.	Bitch	3
12	0	.	.	I'm	.
12	0	.	.	a	.
4	1	(D	.	dog	.
4	1	C)	.	woof	.
=4	=4	=4	=4	=4	=4
4	.	.	R	.	.
12	1	.	.	Beat	3
12	0	.	.	that	.
12	0	.	.	hoe	.
4	1	(D	.	walls	.
4	1	C)	.	loose	.
=5	=5	=5	=5	=5	=5
4	.	.	R	.	.
12	1	.	.	Hop	3
12	0	.	.	in	.
12	0	.	.	the	.
4	1	(D	.	frog	.
4	1	C)	.	whoo	.
=6	=6	=6	=6	=6	=6
4	.	.	R	.	.
12	1	.	.	I	3
12	0	.	.	tell	.
12	0	.	.	that	.
12	1	.	.	bitch	.
12	0	.	.	to	.
12	0	.	.	come	.
12	1	(E	.	come	.
12	0	f	.	for	.
12	0	g)	.	me	.
=7	=7	=7	=7	=7	=7
4	.	.	R	.	.
12	1	.	.	I	3
12	0	.	.	swear	.
12	0	.	.	these	.
12	1	.	.	nig-	.
12	0	.	.	-gas	.
12	0	.	.	is	.
12	1	(E	.	un-	.
12	0	f	.	-der	.
12	0	g)	.	me	.
=8	=8	=8	=8	=8	=8
6	.	.	R	.	.
12	0	.	.	They	3
12	1	.	.	hate	.
12	0	.	.	and	.
12	0	.	.	the	.
12	1	.	.	de-	.
12	0	.	.	-vil	.
12	0	.	.	keep	.
12	1	(E	.	jum-	.
12	0	f	.	-pin'	.
12	0	G)	.	me	.
=9	=9	=9	=9	=9	=9
4	.	.	R	.	.
12	1	.	.	Bank-	3
12	0	.	.	-rolls	.
12	0	.	.	on	.
12	1	.	.	me	.
12	0	.	.	keep	.
12	0	.	.	me	.
12	1	(E	.	com-	.
12	0	f	.	-pa-	.
12	0	G)	.	-ny	.
=10	=10	=10	=10	=10	=10
4	.	.	R	.	.
4	1	.	.	Ay	3
12	1	.	.	we	.
12	0	.	.	do	.
12	0	.	.	the	.
4	1	H	.	most	.
=11	=11	=11	=11	=11	=11
4	.	.	R	.	.
4	1	.	.	yeah	3
12	1	.	.	Pull	.
12	0	.	.	up	.
12	0	.	.	in	.
4	1	H	.	Ghosts	.
=12	=12	=12	=12	=12	=12
4	.	.	R	.	.
6	1	.	.	yeah	3
12	0	.	.	My	.
12	1	(I	.	dia-	.
12	0	j	.	-monds	.
12	0	k	.	a	.
6	1	L	.	cho-	.
12	0	m)	.	-ker	.
=13	=13	=13	=13	=13	=13
4	.	.	R	.	.
12	1	.	.	Hol-	3
12	0	.	.	-din'	.
12	0	.	.	the	.
12	1	(I	.	fire	.
12	0	j	.	with	.
12	0	k	.	no	.
12	1	L	.	hol-	.
6	0	m)	.	-ster	.
=14	=14	=14	=14	=14	=14
4	.	.	R	.	.
12	1	.	.	Rick	3
12	0	.	.	The	.
12	1	(N	.	Ru-	.
12	0	o)	.	-ler	.
12	1	.	.	dia-	.
12	0	.	.	-monds	.
12	1	(N	.	coo-	.
6	0	o)	.	-ler	.
=15	=15	=15	=15	=15	=15
4	.	.	R	.	.
