**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM154	*MM154	*MM154	*MM154	*MM154	*MM154
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
2.	.	.	R	.	.
4	1	.	.	Smoke	3
=1	=1	=1	=1	=1	=1
4	0	.	.	this	.
4	1	.	.	drink	.
4	0	.	.	this	.
4	.	.	R	.	.
=2	=2	=2	=2	=2	=2
4	1	.	.	straight	.
8	1	.	.	to	.
8	0	.	.	my	.
8	1	.	.	li-	.
8	0	.	.	-ver	.
4	1	.	.	Watch	3
=3	=3	=3	=3	=3	=3
4	0	.	.	this	.
4	1	.	.	no	.
4	0	.	.	tick	.
4	.	.	R	.	.
=4	=4	=4	=4	=4	=4
4	1	.	.	yeah	.
8	1	.	.	I'm	.
8	0	.	.	the	.
8	1	.	.	nig-	.
8	0	.	.	-ga	.
4	1	.	.	Gang	3
=5	=5	=5	=5	=5	=5
4	0	.	.	rap	.
4	1	.	.	X-	.
4	0	.	.	-mas	.
4	0	.	.	smoke	.
=6	=6	=6	=6	=6	=6
4	1	.	.	shots	.
8	1	.	.	I	.
8	0	.	.	de-	.
8	1	.	.	-li-	.
8	0	.	.	-ver	.
4	1	.	.	Fa-	3
=7	=7	=7	=7	=7	=7
4	0	.	.	-ded	.
4	1	.	.	Ve-	.
4	0	.	.	-gas	.
4	0	.	.	might	.
=8	=8	=8	=8	=8	=8
4	1	.	.	spon-	.
8	0	.	.	-sor	.
8	0	.	.	the	.
8	1	.	.	kil-	.
8	0	.	.	-ler	.
4	1	.	.	Shake	3
=9	=9	=9	=9	=9	=9
4	0	.	.	it	.
4	1	.	.	break	.
4	0	.	.	it	.
4	1	.	.	hot-	.
=10	=10	=10	=10	=10	=10
4	1	.	.	-hot	.
8	1	.	.	for	.
8	0	.	.	the	.
8	1	.	.	win-	.
8	0	.	.	-ter	.
4	1	.	.	Drop	3
=11	=11	=11	=11	=11	=11
4	0	.	.	it	.
4	1	.	.	cop	.
4	0	.	.	it	.
4	1	.	.	eyes	.
