**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM150	*MM150	*MM150	*MM150	*MM150	*MM150
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
4	.	.	R	.	.
4	1	.	.	Aye	.
8	1	.	.	I	3
8	0	.	.	re-	.
8	1	.	.	-mem-	.
8	0	.	.	-ber	.
=1	=1	=1	=1	=1	=1
8	1	.	.	sy-	.
8	0	.	.	-rup	.
8	1	.	.	sand-	.
8	0	.	.	-wi-	.
8	1	.	.	-ches	.
8	0	.	.	and	.
8	1	.	.	crime	.
8	0	.	.	al-	.
=2	=2	=2	=2	=2	=2
8	1	.	.	-lo-	.
8	0	.	.	-wan-	.
8	1	.	.	-ces	.
8	0	.	.	Fi-	2
8	1	.	.	-nesse	.
8	0	.	.	a	.
8	1	.	.	nig-	.
8	0	.	.	-ga	.
=3	=3	=3	=3	=3	=3
8	1	.	.	with	.
8	0	.	.	some	.
8	1	.	.	coun-	.
8	0	.	.	-ter-	.
8	1	.	.	-feits	.
8	0	.	.	But	.
8	1	.	.	now	.
8	0	.	.	I'm	.
=4	=4	=4	=4	=4	=4
8	1	.	.	coun-	.
8	0	.	.	-ting	.
4	1	.	.	this	.
8	1	.	.	Par-	3
8	0	.	.	-me-	.
8	1	.	.	-san	.
8	0	.	.	where	.
=5	=5	=5	=5	=5	=5
8	1	.	.	my	.
8	0	.	.	ac-	.
8	1	.	.	-count-	.
8	0	.	.	-ant	.
8	1	.	.	lives	.
8	0	.	.	in	.
8	1	.	.	fact	.
8	0	.	.	I'm	.
=6	=6	=6	=6	=6	=6
8	1	.	.	down-	.
8	0	.	.	-in'	.
4	1	.	.	this	.
8	1	.	.	D'us-	3
8	0	.	.	-śe	.
8	1	.	.	with	.
8	0	.	.	my	.
=7	=7	=7	=7	=7	=7
8	1	.	.	boo	.
8	0	.	.	bae	.
8	1	.	.	tastes	.
8	0	.	.	like	.
8	1	.	.	kool	.
8	0	.	.	aid	.
8	1	.	.	for	.
8	0	.	.	the	.
=8	=8	=8	=8	=8	=8
8	1	.	.	a-	.
8	0	.	.	-na-	.
4	1	.	.	-lysts	.
4	1	.	.	Girl	3
8	1	.	.	I	.
8	0	.	.	can	.
