**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM84	*MM84	*MM84	*MM84	*MM84	*MM84
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
2.	.	.	R	.	.
16	1	.	.	I	3
16	0	.	.	re-	.
16	1	.	.	-mem-	.
16	0	.	.	-ber	.
=1	=1	=1	=1	=1	=1
16	1	.	.	when	.
16	0	.	.	I	.
8	1	.	.	got	.
16	1	.	.	star-	.
16	0	.	.	-ted	.
16	1	.	.	my	2
16	0	.	.	in-	.
16	1	.	.	-ten-	.
16	0	.	.	-tion	.
16	1	.	.	was	.
16	0	.	.	to	.
8	1	.	.	win	.
16	.	.	R	.	.
32	0	.	.	But	3
32	0	.	.	a	.
=2	=2	=2	=2	=2	=2
16	1	.	.	lot	.
16	0	.	.	of	.
8	1	.	.	shit	.
8	1	.	.	changed	.
16	0	.	.	since	.
8	1	.	.	then	.
16	0	.	.	Some	3
8	0	.	.	more	.
8	1	.	.	friends	.
16	0	.	.	be-	.
16	1	.	.	-came	.
=3	=3	=3	=3	=3	=3
16	1	.	.	e-	.
16	0	.	.	-ne-	.
8	1	.	.	-mies	.
16	1	.	.	in	2
16	0	.	.	the	.
16	1	.	.	quest	.
16	0	.	.	of	.
16	1	.	.	vic-	.
16	0	.	.	-to-	.
8	1	.	.	-ry	.
16	.	.	R	.	.
32	0	.	.	But	3
32	0	.	.	I	.
16	1	.	.	made	.
16	0	.	.	a	.
=4	=4	=4	=4	=4	=4
4	1	.	.	vow	.
16	1	.	.	ne-	2
16	0	.	.	-ver	.
16	1	.	.	let	.
16	0	.	.	this	.
8	1	.	.	shit	.
16	1	.	.	get	.
16	0	.	.	to	.
16	1	.	.	me	.
16	0	.	.	I	3
16	1	.	.	let	.
16	0	.	.	it	.
=5	=5	=5	=5	=5	=5
8.	1	.	.	pass	.
16	0	.	.	so	2
16	1	.	.	I	.
16	0	.	.	con-	.
16	1	.	.	-si-	.
16	0	.	.	-der	.
16	1	.	.	that	.
16	1	.	.	part	.
16	0	.	.	of	.
16	0	.	.	my	.
16	1	.	.	his-	.
16	0	.	.	-to-	.
8	1	.	.	-ry	.
=6	=6	=6	=6	=6	=6
16	.	.	R	.	.
16	1	.	.	And	3
8	0	.	.	I'm	.
8	1	.	.	strong	.
16	.	.	R	.	.
16	0	.	.	fi-	.
16	1	.	.	-nan-	.
16	0	.	.	-cial-	.
8	1	.	.	-ly	.
16	1	.	.	phy-	2
16	0	.	.	-si-	.
8	1	.	.	-cally	.
=7	=7	=7	=7	=7	=7
8	.	.	R	.	.
16	1	.	.	Men-	3
16	0	.	.	-tal-	.
16	1	.	.	-ly	.
16	0	.	.	I'm	.
16	1	.	.	on	.
16	0	.	.	a	.
8	1	.	.	whole	.
16	1	.	.	'no-	.
16	0	.	.	-ther	.
16	1	.	.	le-	.
8	0	.	.	-vel	.
16	.	.	R	.	.
=8	=8	=8	=8	=8	=8
16	.	.	R	.	.
16	1	.	.	And	3
16	0	.	.	don't	.
16	0	.	.	for-	.
8	1	.	.	-get	.
16	1	.	.	that	.
16	0	.	.	I	.
8	1	.	.	came	.
16	1	.	.	from	.
16	0	.	.	the	.
16	1	.	.	ghet-	.
8	0	.	.	-to	.
16	.	.	R	.	.
=9	=9	=9	=9	=9	=9
16	1	.	.	Sold	3
16	0	.	.	a	.
16	0	.	.	new	.
8.	1	.	.	house	.
16	0	.	.	for	.
16	0	.	.	my	.
8	1	.	.	moms	.
8	0	.	.	that's	2
16	1	.	.	spe-	.
16	0	.	.	-cial	.
