**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM132	*MM132	*MM132	*MM132	*MM132	*MM132
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
4.	.	.	R	.	.
16	0	.	.	If	3
16	0	.	.	you	.
8	1	.	.	think	.
8	0	.	.	I	.
8	1	.	.	just	.
8	0	.	.	lucked	.
=1	=1	=1	=1	=1	=1
8	1	.	.	up	.
8	0	.	.	you	.
8	1	.	.	got	.
8	0	.	.	me	.
8	1	.	.	so	.
8	0	.	.	fucked	.
4	1	.	.	up	.
=2	=2	=2	=2	=2	=2
16	1	.	.	Left	3
16	0	.	.	dem	.
16	0	.	.	nig-	.
16	0	.	.	-gas	.
8	1	.	.	lone	.
16	1	.	.	yeah	.
16	0	.	.	I	.
16	1	.	.	did	.
16	0	.	.	it	.
8	0	.	.	so	.
8	1	.	.	what	.
16	0	.	.	I	3
16	0	.	.	ain't	.
=3	=3	=3	=3	=3	=3
16	1	.	.	fin-	.
16	0	.	.	-na	.
16	1	.	.	let	.
16	0	.	.	them	.
16	1	.	.	nig-	.
16	0	.	.	-gas	.
8	1	.	.	get	.
8	1	.	.	me	.
8	0	.	.	fucked	.
8	1	.	.	up	.
8	0	.	.	I'm	3
=4	=4	=4	=4	=4	=4
8	1	.	.	right	.
8	0	.	.	here	.
16	1	.	.	I	.
16	0	.	.	ain't	.
16	0	.	.	got	.
16	0	.	.	no-	.
16	1	.	.	-where	.
16	0	.	.	to	.
16	0	.	.	fuc-	.
16	0	.	.	-kin	.
8	1	.	.	go	.
16	1	.	.	Hit-	3
16	0	.	.	-a	.
=5	=5	=5	=5	=5	=5
16	1	.	.	nig-	.
16	0	.	.	-ga	.
16	0	.	.	for	.
16	0	.	.	the	.
8	1	.	.	low	.
16	0	.	.	gim-	3
16	0	.	.	-me	.
16	1	.	.	fif-	.
16	0	.	.	-ty	.
16	0	.	.	for	.
16	0	.	.	the	.
8	1	.	.	show	.
16	0	.	.	Got	3
16	0	.	.	a	.
=6	=6	=6	=6	=6	=6
8	1	.	.	pound	.
16	0	.	.	full	.
16	0	.	.	of	.
8	1	.	.	blow	.
16	0	.	.	I	3
16	0	.	.	could	.
8	1	.	.	drown	.
16	0	.	.	in	.
16	0	.	.	the	.
8	1	.	.	Mo	.
8	1	.	.	Ro-	3
=7	=7	=7	=7	=7	=7
8	1	.	.	-sé	.
16	0	.	.	by	.
16	0	.	.	the	.
8	1	.	.	case	.
8	1	.	.	mo	.
8	1	.	.	drink	.
16	0	.	.	than	.
