**recip	**stress	**rhyme	**CMPD	**lyrics	**break
*M4/4	*M4/4	*M4/4	*M4/4	*M4/4	*M4/4
*MM154	*MM154	*MM154	*MM154	*MM154	*MM154
*	*	*	*	*	*
=0	=0	=0	=0	=0	=0
8	.	.	R	.	.
8	1	.	.	Fuck	3
8	0	.	.	S-	.
8	0	.	.	-N-	.
4	1	.	.	-L	.
8	0	.	.	and	.
8	0	.	.	the	.
=1	=1	=1	=1	=1	=1
4	1	.	.	whole	.
4	1	.	.	cast	.
4	.	.	R	.	.
8	1	.	.	Tell	3
8	0	.	.	'em	.
=2	=2	=2	=2	=2	=2
8	1	.	.	Yee-	.
8	0	.	.	-zy	.
4	0	.	.	said	.
8	1	.	.	they	.
8	0	.	.	can	.
8	0	.	.	kiss	.
8	0	.	.	my	.
=3	=3	=3	=3	=3	=3
4	1	.	.	whole	.
4	1	.	.	ass	.
4	.	.	R	.	.
8	1	.	.	More	3
8	0	.	.	spe-	.
=4	=4	=4	=4	=4	=4
8	1	.	.	-ci-	.
8	0	.	.	-fi-	.
4	0	.	.	-cally	.
8	1	.	.	they	.
8	0	.	.	can	.
8	0	.	.	kiss	.
8	0	.	.	my	.
=5	=5	=5	=5	=5	=5
4	1	.	.	ass-	.
4	1	.	.	-hole	.
4	.	.	R	.	.
8	1	.	.	I'm	3
8	0	.	.	an	.
=6	=6	=6	=6	=6	=6
4	1	.	.	ass-	.
4	0	.	.	-hole?	.
8	.	.	R	.	.
8	0	.	.	You	3
8	1	.	.	nig-	.
8	0	.	.	-gas	.
=7	=7	=7	=7	=7	=7
4	1	.	.	got	.
2.	1	.	.	jokes	.
=8	=8	=8	=8	=8	=8
4.	.	.	R	.	.
8	0	.	.	You	3
8	1	.	.	short-	.
8	0	.	.	-min-	.
8	0	.	.	-ded	.
8	1	.	.	nig-	.
=9	=9	=9	=9	=9	=9
8	0	.	.	-gas	.
8	1	.	.	thoughts	.
8	0	.	.	is	.
8	0	.	.	Na-	.
8	1	.	.	-po-	.
8	0	.	.	-le-	.
8	0	.	.	-on	.
8	0	.	.	My	3
=10	=10	=10	=10	=10	=10
